,0,columna_limpia
3557,target,target
3558,price,price
3559,to,
3560,from,
3561,silvergate,silvergate
3562,capital,capital
3563,corp,corp
3564,si.n,si.n
3565,kbw,kbw
3566,raises,raises
3567,target,target
3568,price,price
3569,to,
3570,from,
3571,silvergate,silvergate
3572,capital,capital
3573,corp,corp
3574,si.n,si.n
3575,wells,wells
3576,fargo,fargo
3577,raises,raises
3578,target,target
3579,price,price
3580,to,
3581,from,
3582,singular,singular
3583,genomics,genomics
3584,systems,systems
3585,omic.o,omic.o
3586,bofa,bofa
3587,global,global
3588,research,research
3589,cuts,cuts
3590,price,price
3591,objective,objective
3592,to,
3593,from,
3594,siteone,siteone
3595,landscape,landscape
3596,supply,supply
3597,inc,inc
3598,site.n,site.n
3599,jefferies,jefferies
3600,cuts,cuts
3601,target,target
3602,price,price
3603,to,
3604,from,
3605,sl,sl
3606,green,green
3607,realty,realty
3608,corp,corp
3609,slg.n,slg.n
3610,deutsche,deutsche
3611,bank,bank
3612,cuts,cuts
3613,target,target
3614,price,price
3615,to,
3616,from,
3617,sleep,sleep
3618,number,number
3619,corp,corp
3620,snbr.o,snbr.o
3621,ubs,ubs
3622,cuts,cuts
3623,target,target
3624,price,price
3625,to,
3626,from,
3627,sm,sm
3628,energy,energy
3629,co,co
3630,sm.n,sm.n
3631,mkm,mkm
3632,partners,partners
3633,assumes,assumes
3634,coverage,coverage
3635,with,
3636,buy,buy
3637,rating,rating
3638,target,target
3639,price,price
3640,snap,snap
3641,one,one
3642,holdings,holdings
3643,corp,corp
3644,snpo.o,snpo.o
3645,jefferies,jefferies
3646,cuts,cuts
3647,target,target
3648,price,price
3649,to,
3650,from,
3651,sofi,sofi
3652,technologies,technologies
3653,inc,inc
3654,sofi.o,sofi.o
3655,jefferies,jefferies
3656,cuts,cuts
3657,target,target
3658,price,price
3659,to,
3660,from,
3661,sonoco,sonoco
3662,products,products
3663,co,co
3664,son.n,son.n
3665,ubs,ubs
3666,cuts,cuts
3667,target,target
3668,price,price
3669,to,
3670,from,
3671,southern,southern
3672,co,co
3673,so.n,so.n
3674,bmo,bmo
3675,raises,raises
3676,target,target
3677,price,price
3678,to,
3679,from,
3680,starwood,starwood
3681,property,property
3682,trust,trust
3683,inc,inc
3684,stwd.n,stwd.n
3685,credit,credit
3686,suisse,suisse
3687,cuts,cuts
3688,target,target
3689,price,price
3690,to,
3691,from,
3692,state,state
3693,street,street
3694,corp,corp
3695,stt.n,stt.n
3696,citigroup,citigroup
3697,raises,raises
3698,price,price
3699,target,target
3700,to,
3701,from,
3702,stryker,stryker
3703,corp,corp
3704,syk.n,syk.n
3705,truist,truist
3706,securities,securities
3707,cuts,cuts
3708,target,target
3709,price,price
3710,to,
3711,from,
3712,summit,summit
3713,materials,materials
3714,inc,inc
3715,sum.n,sum.n
3716,jp,jp
3717,morgan,morgan
3718,cuts,cuts
3719,target,target
3720,price,price
3721,to,
3722,from,
3723,sunnova,sunnova
3724,energy,energy
3725,international,international
3726,inc,inc
3727,nova.n,nova.n
3728,jp,jp
3729,morgan,morgan
3730,raises,raises
3731,target,target
3732,price,price
3733,to,
3734,from,
3735,sunoco,sunoco
3736,lp,lp
3737,sun.n,sun.n
3738,barclays,barclays
3739,cuts,cuts
3740,target,target
3741,price,price
3742,to,
3743,from,
3744,sunpower,sunpower
3745,corp,corp
3746,spwr.o,spwr.o
3747,jp,jp
3748,morgan,morgan
3749,raises,raises
3750,target,target
3751,price,price
3752,to,
3753,from,
3754,sunrun,sunrun
3755,inc,inc
3756,run.o,run.o
3757,jp,jp
3758,morgan,morgan
3759,raises,raises
3760,target,target
3761,price,price
3762,to,
3763,from,
3764,talos,talos
3765,energy,energy
3766,inc,inc
3767,talo.n,talo.n
3768,mkm,mkm
3769,partners,partners
3770,assumes,assumes
3771,coverage,coverage
3772,with,
3773,buy,buy
3774,rating,rating
3775,pt,pt
3776,targa,targa
3777,resources,resources
3778,corp,corp
3779,trgp.n,trgp.n
3780,barclays,barclays
3781,cuts,cuts
3782,target,target
3783,price,price
3784,to,
3785,from,
3786,targa,targa
3787,resources,resources
3788,corp,corp
3789,trgp.n,trgp.n
3790,morgan,morgan
3791,stanley,stanley
3792,raises,raises
3793,target,target
3794,price,price
3795,to,
3796,from,
3797,taskus,taskus
3798,inc,inc
3799,task.o,task.o
3800,jp,jp
3801,morgan,morgan
3802,cuts,cuts
3803,target,target
3804,price,price
3805,to,
3806,from,
3807,teladoc,teladoc
3808,health,health
3809,inc,inc
3810,tdoc.n,tdoc.n
3811,barclays,barclays
3812,cuts,cuts
3813,target,target
3814,price,price
3815,to,
3816,from,
3817,teleflex,teleflex
3818,inc,inc
3819,tfx.n,tfx.n
3820,truist,truist
3821,securities,securities
3822,cuts,cuts
3823,target,target
3824,price,price
3825,to,
3826,from,
3827,tempur,tempur
3828,sealy,sealy
3829,tpx.n,tpx.n
3830,raymond,raymond
3831,james,james
3832,cuts,cuts
3833,target,target
3834,price,price
3835,to,
3836,from,
3837,tempur,tempur
3838,sealy,sealy
3839,tpx.n,tpx.n
3840,ubs,ubs
3841,cuts,cuts
3842,target,target
3843,price,price
3844,to,
3845,from,
3846,tenable,tenable
3847,holdings,holdings
3848,inc,inc
3849,tenb.o,tenb.o
3850,needham,needham
3851,cuts,cuts
3852,target,target
3853,price,price
3854,to,
3855,from,
3856,texas,texas
3857,instruments,instruments
3858,inc,inc
3859,txn.o,txn.o
3860,deutsche,deutsche
3861,bank,bank
3862,cuts,cuts
3863,target,target
3864,price,price
3865,to,
3866,from,
3867,thoughtworks,thoughtworks
3868,holding,holding
3869,inc,inc
3870,twks.o,twks.o
3871,jp,jp
3872,morgan,morgan
3873,cuts,cuts
3874,target,target
3875,price,price
3876,to,
3877,from,
3878,t-mobile,t-mobile
3879,us,us
3880,inc,inc
3881,tmus.o,tmus.o
3882,citigroup,citigroup
3883,raises,raises
3884,price,price
3885,target,target
3886,to,
3887,from,
3888,truist,truist
3889,financial,financial
3890,corp,corp
3891,tfc.n,tfc.n
3892,barclays,barclays
3893,cuts,cuts
3894,target,target
3895,price,price
3896,to,
3897,from,
3898,truist,truist
3899,financial,financial
3900,corp,corp
3901,tfc.n,tfc.n
3902,jefferies,jefferies
3903,raises,raises
3904,target,target
3905,price,price
3906,to,
3907,from,
3908,truist,truist
3909,financial,financial
3910,corp,corp
3911,tfc.n,tfc.n
3912,kbw,kbw
3913,raises,raises
3914,target,target
3915,price,price
3916,to,
3917,from,
3918,truist,truist
3919,financial,financial
3920,corp,corp
3921,tfc.n,tfc.n
3922,piper,piper
3923,sandler,sandler
3924,cuts,cuts
3925,target,target
3926,price,price
3927,to,
3928,from,
3929,ttec,ttec
3930,holdings,holdings
3931,inc,inc
3932,ttec.o,ttec.o
3933,cowen,cowen
3934,and,
3935,company,company
3936,cuts,cuts
3937,target,target
3938,price,price
3939,to,
3940,from,
3941,turing,turing
3942,holding,holding
3943,corp,corp
3944,twks.o,twks.o
3945,cowen,cowen
3946,and,
3947,company,company
3948,cuts,cuts
3949,target,target
3950,price,price
3951,to,
3952,from,
3953,udr,udr
3954,inc,inc
3955,udr.n,udr.n
3956,piper,piper
3957,sandler,sandler
3958,cuts,cuts
3959,target,target
3960,price,price
3961,to,
3962,from,
3963,unitedhealth,unitedhealth
3964,group,group
3965,inc,inc
3966,unh.n,unh.n
3967,bmo,bmo
3968,raises,raises
3969,target,target
3970,price,price
3971,to,
3972,from,
3973,upstart,upstart
3974,holdings,holdings
3975,inc,inc
3976,upst.o,upst.o
3977,jefferies,jefferies
3978,cuts,cuts
3979,target,target
3980,price,price
3981,to,
3982,from,
3983,us,us
3984,bancorp,bancorp
3985,usb.n,usb.n
3986,citigroup,citigroup
3987,raises,raises
3988,price,price
3989,target,target
3990,to,
3991,from,
3992,vericel,vericel
3993,corp,corp
3994,vcel.o,vcel.o
3995,truist,truist
3996,securities,securities
3997,cuts,cuts
3998,target,target
3999,price,price
4000,to,
4001,from,
4002,verra,verra
4003,mobility,mobility
4004,corp,corp
4005,vrrm.o,vrrm.o
4006,deutsche,deutsche
4007,bank,bank
4008,raises,raises
4009,target,target
4010,price,price
4011,to,
4012,from,
4013,vici,vici
4014,properties,properties
4015,inc,inc
4016,vici.n,vici.n
4017,evercore,evercore
4018,isi,isi
4019,resumes,resumes
4020,with,
4021,outperform,outperform
4022,rating,rating
4023,and,
4024,pt,pt
4025,vici,vici
4026,properties,properties
4027,inc,inc
4028,vici.n,vici.n
4029,truist,truist
4030,securities,securities
4031,raises,raises
4032,target,target
4033,price,price
4034,to,
4035,from,
4036,viper,viper
4037,energy,energy
4038,partners,partners
4039,lp,lp
4040,vnom.o,vnom.o
4041,mkm,mkm
4042,partners,partners
4043,initiates,initiates
4044,coverage,coverage
4045,with,
4046,buy,buy
4047,rating,rating
4048,pt,pt
4049,visa,visa
4050,inc,inc
4051,v.n,v.n
4052,jefferies,jefferies
4053,raises,raises
4054,target,target
4055,price,price
4056,to,
4057,from,
4058,vital,vital
4059,farms,farms
4060,inc,inc
4061,vitl.o,vitl.o
4062,morgan,morgan
4063,stanley,stanley
4064,cuts,cuts
4065,target,target
4066,price,price
4067,to,
4068,from,
4069,vital,vital
4070,farms,farms
4071,inc,inc
4072,vitl.o,vitl.o
4073,morgan,morgan
4074,stanley,stanley
4075,raises,raises
4076,to,
4077,overweight,overweight
4078,from,
4079,equal-weight,equal-weight
4080,vornado,vornado
4081,realty,realty
4082,trust,trust
4083,vno.n,vno.n
4084,deutsche,deutsche
4085,bank,bank
4086,cuts,cuts
4087,target,target
4088,price,price
4089,to,
4090,from,
4091,vulcan,vulcan
4092,materials,materials
4093,co,co
4094,vmc.n,vmc.n
4095,jp,jp
4096,morgan,morgan
4097,cuts,cuts
4098,target,target
4099,price,price
4100,to,
4101,from,
4102,warner,warner
4103,music,music
4104,group,group
4105,corp,corp
4106,wmg.o,wmg.o
4107,truist,truist
4108,securities,securities
4109,cuts,cuts
4110,target,target
4111,price,price
4112,to,
4113,from,
4114,waste,waste
4115,connections,connections
4116,inc,inc
4117,wcn.n,wcn.n
4118,scotiabank,scotiabank
4119,cuts,cuts
4120,target,target
4121,price,price
4122,to,
4123,from,
4124,waste,waste
4125,management,management
4126,inc,inc
4127,wm.n,wm.n
4128,scotiabank,scotiabank
4129,cuts,cuts
4130,target,target
4131,price,price
4132,to,
4133,from,
4134,waters,waters
4135,corp,corp
4136,wat.n,wat.n
4137,ubs,ubs
4138,initiates,initiates
4139,coverage,coverage
4140,with,
4141,neutral,neutral
4142,rating,rating
4143,target,target
4144,price,price
4145,watsco,watsco
4146,inc,inc
4147,wso.n,wso.n
4148,jefferies,jefferies
4149,cuts,cuts
4150,target,target
4151,price,price
4152,to,
4153,from,
4154,watts,watts
4155,water,water
4156,technologies,technologies
4157,inc,inc
4158,wts.n,wts.n
4159,stifel,stifel
4160,cuts,cuts
4161,target,target
4162,price,price
4163,to,
4164,from,
4165,wayfair,wayfair
4166,inc,inc
4167,w.n,w.n
4168,piper,piper
4169,sandler,sandler
4170,cuts,cuts
4171,target,target
4172,price,price
4173,to,
4174,from,
4175,wec,wec
4176,energy,energy
4177,group,group
4178,inc,inc
4179,wec.n,wec.n
4180,bmo,bmo
4181,cuts,cuts
4182,target,target
4183,price,price
4184,to,
4185,from,
4186,wendys,wendys
4187,co,co
4188,wen.o,wen.o
4189,deutsche,deutsche
4190,bank,bank
4191,raises,raises
4192,target,target
4193,price,price
4194,to,
4195,from,
4196,western,western
4197,digital,digital
4198,corp,corp
4199,wdc.o,wdc.o
4200,barclays,barclays
4201,cuts,cuts
4202,target,target
4203,price,price
4204,to,
4205,from,
4206,western,western
4207,midstream,midstream
4208,partners,partners
4209,lp,lp
4210,wes.n,wes.n
4211,barclays,barclays
4212,raises,raises
4213,target,target
4214,price,price
4215,to,
4216,from,
4217,western,western
4218,midstream,midstream
4219,partners,partners
4220,lp,lp
4221,wes.n,wes.n
4222,morgan,morgan
4223,stanley,stanley
4224,raises,raises
4225,pt,pt
4226,to,
4227,from,
4228,williams-sonoma,williams-sonoma
4229,inc,inc
4230,wsm.n,wsm.n
4231,morgan,morgan
4232,stanley,stanley
4233,cuts,cuts
4234,target,target
4235,price,price
4236,to,
4237,from,
4238,wynn,wynn
4239,resorts,resorts
4240,ltd,ltd
4241,wynn.o,wynn.o
4242,jefferies,jefferies
4243,cuts,cuts
4244,target,target
4245,price,price
4246,to,
4247,from,
4248,xcel,xcel
4249,energy,energy
4250,inc,inc
4251,xel.o,xel.o
4252,bmo,bmo
4253,cuts,cuts
4254,target,target
4255,price,price
4256,to,
4257,from,
4258,xylem,xylem
4259,inc,inc
4260,xyl.n,xyl.n
4261,stifel,stifel
4262,raises,raises
4263,target,target
4264,price,price
4265,to,
4266,from,
4267,xylem,xylem
4268,inc,inc
4269,xyl.n,xyl.n
4270,stifel,stifel
4271,raises,raises
4272,to,
4273,buy,buy
4274,from,
4275,hold,hold
4276,zimmer,zimmer
4277,biomet,biomet
4278,holdings,holdings
4279,inc,inc
4280,zbh.n,zbh.n
4281,truist,truist
4282,securities,securities
4283,cuts,cuts
4284,pt,pt
4285,to,
4286,from,
4287,compiled,compiled
4288,by,
4289,bengaluru,bengaluru
4290,newsroom,newsroom
4291,diaries,diaries
4292,thomsonreuters.com,thomsonreuters.com
4293,c,c
4294,copyright,copyright
4295,thomson,thomson
4296,reuters,reuters
4297,click,click
4298,for,
4299,restrictions,restrictions
4300,https,https
4301,keywords,keywords
4302,research-us/,research-us/
4303,x,x
4304,click,click
4305,the,
4306,following,following
4307,link,link
4308,to,
4309,watch,watch
4310,video,video
4311,https,https
4312,entryid=1_f2maw1qy,entryid=1_f2maw1qy
4313,referenceid=1_f2maw1qy,referenceid=1_f2maw1qy
4314,pageid=refinitivnewscasts,pageid=refinitivnewscasts
4315,source,source
4316,reuters,reuters
4317,description,description
4318,wall,wall
4319,street,street
4320,benchmarks,benchmarks
4321,opened,opened
4322,mixed,mixed
4323,but,
4324,then,
4325,moved,moved
4326,higher,higher
4327,after,
4328,a,
4329,surprisingly,surprisingly
4330,positive,positive
4331,subscriber,subscriber
4332,forecast,forecast
4333,from,
4334,netflix,netflix
4335,boosted,boosted
4336,technology,technology
4337,stocks,stocks
4338,a,
4339,o,
4340,smith,smith
4341,corp,corp
4342,aos.n,aos.n
4343,stifel,stifel
4344,cuts,cuts
4345,target,target
4346,price,price
4347,to,
4348,from,
4349,advanced,advanced
4350,micro,micro
4351,devices,devices
4352,inc,inc
4353,amd.o,amd.o
4354,deutsche,deutsche
4355,bank,bank
4356,cuts,cuts
4357,target,target
4358,price,price
4359,to,
4360,from,
4361,afc,afc
4362,gamma,gamma
4363,inc,inc
4364,afcg.o,afcg.o
4365,jefferies,jefferies
4366,cuts,cuts
4367,target,target
4368,price,price
4369,to,
4370,from,
4371,ag,ag
4372,mortgage,mortgage
4373,investment,investment
4374,trust,trust
4375,inc,inc
4376,mitt.n,mitt.n
4377,credit,credit
4378,suisse,suisse
4379,cuts,cuts
4380,target,target
4381,price,price
4382,to,
4383,from,
4384,agilent,agilent
4385,technologies,technologies
4386,inc,inc
4387,a.n,a.n
4388,ubs,ubs
4389,initiates,initiates
4390,coverage,coverage
4391,with,
4392,buy,buy
4393,rating,rating
4394,target,target
4395,price,price
4396,airbnb,airbnb
4397,inc,inc
4398,abnb.o,abnb.o
4399,stifel,stifel
4400,cuts,cuts
4401,target,target
4402,price,price
4403,to,
4404,from,
4405,alliant,alliant
4406,energy,energy
4407,corp,corp
4408,lnt.o,lnt.o
4409,bmo,bmo
4410,cuts,cuts
4411,target,target
4412,price,price
4413,to,
4414,from,
4415,ally,ally
4416,financial,financial
4417,inc,inc
4418,ally.n,ally.n
4419,barclays,barclays
4420,cuts,cuts
4421,target,target
4422,price,price
4423,to,
4424,from,
4425,ally,ally
4426,financial,financial
4427,inc,inc
4428,ally.n,ally.n
4429,bmo,bmo
4430,cuts,cuts
4431,target,target
4432,price,price
4433,to,
4434,from,
4435,ally,ally
4436,financial,financial
4437,inc,inc
4438,ally.n,ally.n
4439,credit,credit
4440,suisse,suisse
4441,cuts,cuts
4442,target,target
4443,price,price
4444,to,
4445,from,
4446,ally,ally
4447,financial,financial
4448,inc,inc
4449,ally.n,ally.n
4450,deutsche,deutsche
4451,bank,bank
4452,cuts,cuts
4453,target,target
4454,price,price
4455,to,
4456,from,
4457,ally,ally
4458,financial,financial
4459,inc,inc
4460,ally.n,ally.n
4461,evercore,evercore
4462,isi,isi
4463,cuts,cuts
4464,target,target
4465,price,price
4466,to,
4467,from,
4468,ally,ally
4469,financial,financial
4470,inc,inc
4471,ally.n,ally.n
4472,evercore,evercore
4473,isi,isi
4474,cuts,cuts
4475,to,
4476,in,
4477,line,line
4478,from,
4479,outperform,outperform
4480,ally,ally
4481,financial,financial
4482,inc,inc
4483,ally.n,ally.n
4484,morgan,morgan
4485,stanley,stanley
4486,cuts,cuts
4487,target,target
4488,price,price
4489,to,
4490,from,
4491,ally,ally
4492,financial,financial
4493,inc,inc
4494,ally.n,ally.n
4495,raymond,raymond
4496,james,james
4497,cuts,cuts
4498,target,target
4499,price,price
4500,to,
4501,from,
4502,ally,ally
4503,financial,financial
4504,inc,inc
4505,ally.n,ally.n
4506,wells,wells
4507,fargo,fargo
4508,cuts,cuts
4509,target,target
4510,price,price
4511,to,
4512,from,
4513,amazon.com,amazon.com
4514,inc,inc
4515,amzn.o,amzn.o
4516,bofa,bofa
4517,global,global
4518,research,research
4519,cuts,cuts
4520,price,price
4521,objective,objective
4522,to,
4523,from,
4524,amazon.com,amazon.com
4525,inc,inc
4526,amzn.o,amzn.o
4527,jefferies,jefferies
4528,cuts,cuts
4529,target,target
4530,price,price
4531,to,
4532,from,
4533,ambarella,ambarella
4534,inc,inc
4535,amba.o,amba.o
4536,deutsche,deutsche
4537,bank,bank
4538,cuts,cuts
4539,target,target
4540,price,price
4541,to,
4542,from,
4543,ameren,ameren
4544,corp,corp
4545,aee.n,aee.n
4546,bmo,bmo
4547,cuts,cuts
4548,target,target
4549,price,price
4550,to,
4551,from,
4552,american,american
4553,electric,electric
4554,power,power
4555,company,company
4556,inc,inc
4557,aep.o,aep.o
4558,bmo,bmo
4559,cuts,cuts
4560,target,target
4561,price,price
4562,to,
4563,from,
4564,amplitude,amplitude
4565,inc,inc
4566,ampl.o,ampl.o
4567,piper,piper
4568,sandler,sandler
4569,cuts,cuts
4570,target,target
4571,price,price
4572,to,
4573,from,
4574,amplitude,amplitude
4575,inc,inc
4576,ampl.o,ampl.o
4577,piper,piper
4578,sandler,sandler
4579,cuts,cuts
4580,target,target
4581,price,price
4582,to,
4583,from,
4584,analog,analog
4585,devices,devices
4586,inc,inc
4587,adi.o,adi.o
4588,deutsche,deutsche
4589,bank,bank
4590,cuts,cuts
4591,target,target
4592,price,price
4593,to,
4594,from,
4595,anglogold,anglogold
4596,ashanti,ashanti
4597,au.n,au.n
4598,deutsche,deutsche
4599,bank,bank
4600,cuts,cuts
4601,target,target
4602,price,price
4603,to,
4604,from,
4605,annaly,annaly
4606,capital,capital
4607,management,management
4608,inc,inc
4609,nly.n,nly.n
4610,credit,credit
4611,suisse,suisse
4612,cuts,cuts
4613,target,target
4614,price,price
4615,to,
4616,from,
4617,antero,antero
4618,midstream,midstream
4619,corp,corp
4620,am.n,am.n
4621,barclays,barclays
4622,cuts,cuts
4623,target,target
4624,price,price
4625,to,
4626,from,
4627,apa,apa
4628,corporation,corporation
4629,apa.o,apa.o
4630,mkm,mkm
4631,partners,partners
4632,assumes,assumes
4633,coverage,coverage
4634,with,
4635,buy,buy
4636,rating,rating
4637,target,target
4638,price,price
4639,apellis,apellis
4640,pharmaceuticals,pharmaceuticals
4641,inc,inc
4642,apls.o,apls.o
4643,citigroup,citigroup
4644,raises,raises
4645,price,price
4646,target,target
4647,to,
4648,from,
4649,apollo,apollo
4650,commercial,commercial
4651,real,real
4652,estate,estate
4653,finance,finance
4654,inc,inc
4655,ari.n,ari.n
4656,credit,credit
4657,suisse,suisse
4658,cuts,cuts
4659,pt,pt
4660,to,
4661,from,
4662,apple,apple
4663,inc,inc
4664,aapl.o,aapl.o
4665,wells,wells
4666,fargo,fargo
4667,cuts,cuts
4668,target,target
4669,price,price
4670,to,
4671,from,
4672,ares,ares
4673,commercial,commercial
4674,real,real
4675,estate,estate
4676,corp,corp
4677,acre.n,acre.n
4678,credit,credit
4679,suisse,suisse
4680,cuts,cuts
4681,pt,pt
4682,to,
4683,from,
4684,arhaus,arhaus
4685,inc,inc
4686,arhs.o,arhs.o
4687,piper,piper
4688,sandler,sandler
4689,cuts,cuts
4690,target,target
4691,price,price
4692,to,
4693,from,
4694,arista,arista
4695,networks,networks
4696,inc,inc
4697,anet.n,anet.n
4698,bofa,bofa
4699,global,global
4700,research,research
4701,cuts,cuts
4702,price,price
4703,objective,objective
4704,to,
4705,from,
4706,arista,arista
4707,networks,networks
4708,inc,inc
4709,anet.n,anet.n
4710,bofa,bofa
4711,global,global
4712,research,research
4713,cuts,cuts
4714,to,
4715,underperform,underperform
4716,from,
4717,buy,buy
4718,armour,armour
4719,residential,residential
4720,reit,reit
4721,inc,inc
4722,arr.n,arr.n
4723,credit,credit
4724,suisse,suisse
4725,cuts,cuts
4726,target,target
4727,price,price
4728,to,
4729,from,
4730,array,array
4731,technologies,technologies
4732,inc,inc
4733,arry.o,arry.o
4734,jp,jp
4735,morgan,morgan
4736,raises,raises
4737,target,target
4738,price,price
4739,to,
4740,from,
4741,autozone,autozone
4742,inc,inc
4743,azo.n,azo.n
4744,raymond,raymond
4745,james,james
4746,raises,raises
4747,target,target
4748,price,price
4749,to,
4750,from,
4751,avalonbay,avalonbay
4752,communities,communities
4753,inc,inc
4754,avb.n,avb.n
4755,piper,piper
4756,sandler,sandler
4757,cuts,cuts
4758,target,target
4759,price,price
4760,to,
4761,from,
4762,avantor,avantor
4763,inc,inc
4764,avtr.n,avtr.n
4765,bofa,bofa
4766,global,global
4767,research,research
4768,cuts,cuts
4769,price,price
4770,objective,objective
4771,to,
4772,from,
4773,aveanna,aveanna
4774,healthcare,healthcare
4775,holdings,holdings
4776,avah.o,avah.o
4777,credit,credit
4778,suisse,suisse
4779,cuts,cuts
4780,target,target
4781,price,price
4782,to,
4783,from,
4784,aveanna,aveanna
4785,healthcare,healthcare
4786,holdings,holdings
4787,avah.o,avah.o
4788,stephens,stephens
4789,cuts,cuts
4790,target,target
4791,price,price
4792,to,
4793,from,
4794,aveanna,aveanna
4795,healthcare,healthcare
4796,holdings,holdings
4797,inc,inc
4798,avah.o,avah.o
4799,rbc,rbc
4800,cuts,cuts
4801,target,target
4802,price,price
4803,to,
4804,from,
4805,avidity,avidity
4806,biosciences,biosciences
4807,inc,inc
4808,rna.o,rna.o
4809,chardan,chardan
4810,capital,capital
4811,markets,markets
4812,initiates,initiates
4813,with,
4814,buy,buy
4815,rating,rating
4816,pt,pt
4817,axonics,axonics
4818,inc,inc
4819,axnx.o,axnx.o
4820,truist,truist
4821,securities,securities
4822,raises,raises
4823,target,target
4824,price,price
4825,to,
4826,from,
4827,badger,badger
4828,meter,meter
4829,inc,inc
4830,bmi.n,bmi.n
4831,stifel,stifel
4832,cuts,cuts
4833,target,target
4834,price,price
4835,to,
4836,from,
4837,ball,ball
4838,corp,corp
4839,ball.n,ball.n
4840,credit,credit
4841,suisse,suisse
4842,cuts,cuts
4843,target,target
4844,price,price
4845,to,
4846,from,
4847,bally,bally
4848,corp,corp
4849,baly.n,baly.n
4850,jefferies,jefferies
4851,cuts,cuts
4852,target,target
4853,price,price
4854,to,
4855,from,
4856,bally,bally
4857,corp,corp
4858,baly.n,baly.n
4859,truist,truist
4860,securities,securities
4861,cuts,cuts
4862,target,target
4863,price,price
4864,to,
4865,from,
4866,bath,bath
4867,body,body
4868,works,works
4869,inc,inc
4870,bbwi.n,bbwi.n
4871,jp,jp
4872,morgan,morgan
4873,cuts,cuts
4874,target,target
4875,price,price
4876,to,
4877,from,
4878,berry,berry
4879,global,global
4880,group,group
4881,inc,inc
4882,bery.n,bery.n
4883,credit,credit
4884,suisse,suisse
4885,raises,raises
4886,to,
4887,outperform,outperform
4888,from,
4889,neutral,neutral
4890,best,best
4891,buy,buy
4892,co,co
4893,inc,inc
4894,bby.n,bby.n
4895,morgan,morgan
4896,stanley,stanley
4897,cuts,cuts
4898,target,target
4899,price,price
4900,to,
4901,from,
4902,blackstone,blackstone
4903,mortgage,mortgage
4904,trust,trust
4905,inc,inc
4906,bxmt.n,bxmt.n
4907,credit,credit
4908,suisse,suisse
4909,cuts,cuts
4910,target,target
4911,price,price
4912,to,
4913,from,
4914,blade,blade
4915,air,air
4916,mobility,mobility
4917,inc,inc
4918,blde.o,blde.o
4919,jp,jp
4920,morgan,morgan
4921,cuts,cuts
4922,target,target
4923,price,price
4924,to,
4925,from,
4926,block,block
4927,inc,inc
4928,sq.n,sq.n
4929,jefferies,jefferies
4930,cuts,cuts
4931,target,target
4932,price,price
4933,to,
4934,from,
4935,block,block
4936,inc,inc
4937,sq.n,sq.n
4938,jp,jp
4939,morgan,morgan
4940,cuts,cuts
4941,target,target
4942,price,price
4943,to,
4944,from,
4945,bloom,bloom
4946,energy,energy
4947,corp,corp
4948,be.n,be.n
4949,jp,jp
4950,morgan,morgan
4951,raises,raises
4952,target,target
4953,price,price
4954,to,
4955,from,
4956,booking,booking
4957,holdings,holdings
4958,inc,inc
4959,bkng.o,bkng.o
4960,stifel,stifel
4961,cuts,cuts
4962,target,target
4963,price,price
4964,to,
4965,from,
4966,boston,boston
4967,properties,properties
4968,inc,inc
4969,bxp.n,bxp.n
4970,deutsche,deutsche
4971,bank,bank
4972,cuts,cuts
4973,target,target
4974,price,price
4975,to,
4976,from,
4977,boyd,boyd
4978,gaming,gaming
4979,corp,corp
4980,byd.n,byd.n
4981,jefferies,jefferies
4982,cuts,cuts
4983,target,target
4984,price,price
4985,to,
4986,from,
4987,boyd,boyd
4988,gaming,gaming
4989,corp,corp
4990,byd.n,byd.n
4991,truist,truist
4992,securities,securities
4993,cuts,cuts
4994,target,target
4995,price,price
4996,to,
4997,from,
4998,broadcom,broadcom
4999,inc,inc
5000,avgo.o,avgo.o
5001,deutsche,deutsche
5002,bank,bank
5003,cuts,cuts
5004,target,target
5005,price,price
5006,to,
5007,from,
5008,caesars,caesars
5009,entertainment,entertainment
5010,inc,inc
5011,czr.o,czr.o
5012,jefferies,jefferies
5013,cuts,cuts
5014,target,target
5015,price,price
5016,to,
5017,from,
5018,caesars,caesars
5019,entertainment,entertainment
5020,inc,inc
5021,czr.o,czr.o
5022,truist,truist
5023,securities,securities
5024,cuts,cuts
5025,target,target
5026,price,price
5027,to,
5028,from,
5029,california,california
5030,resources,resources
5031,corp,corp
5032,crc.n,crc.n
5033,mkm,mkm
5034,partners,partners
5035,assumes,assumes
5036,coverage,coverage
5037,with,
5038,buy,buy
5039,rating,rating
5040,pt,pt
5041,calix,calix
5042,inc,inc
5043,calx.n,calx.n
5044,barrington,barrington
5045,research,research
5046,cuts,cuts
5047,target,target
5048,price,price
5049,to,
5050,from,
5051,cal-maine,cal-maine
5052,foods,foods
5053,inc,inc
5054,calm.o,calm.o
5055,bofa,bofa
5056,global,global
5057,research,research
5058,raises,raises
5059,price,price
5060,objective,objective
5061,to,
5062,from,
5063,cambridge,cambridge
5064,bancorp,bancorp
5065,catc.o,catc.o
5066,kbw,kbw
5067,cuts,cuts
5068,target,target
5069,price,price
5070,to,
5071,from,
5072,camden,camden
5073,property,property
5074,trust,trust
5075,cpt.n,cpt.n
5076,piper,piper
5077,sandler,sandler
5078,cuts,cuts
5079,target,target
5080,price,price
5081,to,
5082,from,
5083,carvana,carvana
5084,co,co
5085,cvna.n,cvna.n
